"","x"
"1983","04"
"1984","76"
"1985","83"
"1986","07"
"1987","97"
"1988","94"
"1989","30"
"1990","83"
"1991","06"
"1992","15"
"1993","04"
"1994","96"
"1995","92"
"1996","59"
"1997","20"
"1998","70"
"1999","24"
"2000","20"
"2001","69"
"2002","63"
"2003","84"
"2004","09"
"2005","42"
"2006","71"
"2007","82"
"2008","23"
"2009","25"
"2010","54"
"2011","54"
"2012","85"
"2013","37"
"2014","09"
"2015","02"
"2016","10"
"2017","82"
"2018","85"
"2019","18"
"2020","79"
"2021","26"
"2022","95"
"2023","94"
"2024","88"
"2025","40"
"2026","62"
"2027","18"
"2028","64"
"2029","32"
"2030","10"
"2031","28"
"2032","13"
"2033","32"
"2034","51"
"2035","51"
"2036","48"
"2037","85"
"2038","61"
"2039","71"
"2040","68"
"2041","07"
"2042","02"
"2043","49"
"2044","44"
"2045","54"
"2046","34"
"2047","38"
"2048","74"
"2049","39"
"2050","65"
"2051","34"
"2052","42"
"2053","35"
"2054","85"
"2055","16"
"2056","85"
"2057","59"
"2058","72"
"2059","30"
"2060","03"
"2061","52"
"2062","00"
"2063","53"
"2064","30"
"2065","74"
"2066","67"
"2067","01"
"2068","34"
"2069","18"
"2070","06"
"2071","01"
"2072","53"
"2073","72"
"2074","98"
"2075","12"
"2076","40"
"2077","42"
"2078","41"
"2079","65"
"2080","81"
"2081","31"
"2082","21"
"2083","00"
"2084","47"
"2085","80"
"2086","78"
"2087","37"
"2088","00"
"2089","00"
"2090","93"
"2091","00"
"2092","78"
"2093","00"
"2094","00"
"2095","70"
"2096","21"
"2097","45"
"2098","03"
"2099","94"
"2100","99"
"2101","57"
"2102","23"
"2103","42"
"2104","39"
"2105","76"
"2106","95"
"2107","00"
"2108","50"
"2109","10"
"2110","10"
"2111","00"
"2112","58"
"2113","76"
"2114","03"
"2115","82"
"2116","10"
"2117","58"
"2118","51"
"2119","37"
"2120","13"
"2121","02"
"2122","70"
"2123","23"
"2124","03"
"2125","30"
"2126","76"
"2127","39"
"2128","49"
"2129","50"
"2130","09"
"2131","22"
"2132","67"
"2133","79"
"2134","00"
"2135","07"
"2136","42"
"2137","73"
"2138","25"
