unit_type,dist_name,prov_name,dist_id,prov_id,population_2015_adj,population_2015,population_2010_adj,population_2010
District,kiti,Daykundi,2204,22,45765.3531610463,36402.3103210777,39735.2801569365,31757.6864447426
District,Kajran,Daykundi,2208,22,47467.4498069994,37756.1779961716,41213.1064586528,32938.8117873967
District,Baghran,Hilmand,3211,32,112825.786699742,89742.9806404011,97959.787243641,78292.5434602983
District,Bala Buluk,Farah,3103,31,101140.045595693,80448.0014889426,87813.7589579429,70183.5201333296
District,Gulestan,Farah,3109,31,60361.5971229831,48012.3364155758,52408.3131801114,41886.3740842603
District,Khak-e-Safed,Farah,3104,31,42500.0939431451,33805.0843894444,36900.2541504353,29491.8437038325
District,Anar Dara,Farah,3111,31,39072.0738714235,31078.3965279534,33923.9142647833,27113.060428102
District,Sarobi,Paktika,2509,25,17128.9984088354,13624.6101165982,14872.0697678793,11886.2260409929
District,Bati Kot,Nangarhar,615,6,104657.170086473,83245.5638957769,90867.4687370509,72624.1391018555
District,Gulran,Hirat,3008,30,132125.731979877,105094.389507579,114716.75210992,91685.2398147746
District,Kohsan,Hirat,3014,30,75183.4140090421,59801.7889278308,65260.9249747489,52158.5845835647
District,Kushk,Hirat,3003,30,168136.163283996,133737.520165132,145906.183298512,116612.81512876
District,Kushk-e-Kohna,Hirat,3013,30,63225.8107019216,50290.5668532457,54895.1351045575,43873.9187479187
District,Ghoryan,Hirat,3009,30,119536.30703797,95080.6090440732,103652.617507583,82842.4338714313
District,Zinda Jan,Hirat,3004,30,82563.4380107261,65671.9493620209,71684.827182225,57292.769529033
District,Adraskan,Hirat,3010,30,75441.7183721624,60007.2456825026,65501.4648495503,52350.8325899146
District,Pashtun  Zarghun,Hirat,3006,30,137317.782427382,109224.211631021,119224.701387385,95288.1320101963
District,Farsi,Hirat,3011,30,43587.5188489389,34670.0344755091,37844.3971390957,30246.4331660029
District,Obe,Hirat,3012,30,103029.343904008,81950.7760393093,89454.1279442357,71494.5534505504
District,Chisht-e-Sharif,Hirat,3016,30,32451.716576701,25812.4841967165,28175.8566422164,22519.0307781859
District,Karukh,Hirat,3007,30,94558.8283864837,75213.2262583878,82099.6945037041,65616.6605278999
Provincial_Center,Hirat,Hirat,3001,30,320416.732975662,254863.310424551,256712.255701736,205172.5060803
District,Injil,Hirat,3002,30,606439.883600118,482369.547036598,516422.472859411,412741.091798008
District,Guzara,Hirat,3005,30,201304.033085601,160119.645603707,174780.080026468,139689.740410513
District,Muqur,Badghis,2902,29,35856.0977747589,28520.3689100966,31131.6734707393,24881.4131251313
District,Ab Kamari,Badghis,2903,29,101816.83142638,80986.3274235241,88401.3746441267,70653.1607853938
District,Qadis,Badghis,2904,29,140444.891212762,111711.548071843,121939.775088246,97458.106932268
District,Jawand,Badghis,2905,29,109122.494517203,86797.3388073268,94744.4405519329,75722.7362543186
District,Bala Murghab,Badghis,2906,29,133726.141206149,106367.372047696,116106.294262441,92795.8044541832
District,Ghormach,Badghis,2907,29,74856.6250116751,59541.8563727587,64993.4657602645,51944.8236014545
District,Almar,Faryab,2805,28,93460.3608322218,74339.4909030795,81145.9663997516,64854.4080084115
District,Kohistan,Faryab,2807,28,23823.7633800316,18949.7062593102,20684.7290169178,16531.8861313756
District,Garziwan,Faryab,2808,28,97728.5350713669,77734.4467148809,84851.7518765959,67816.1898176754
District,Bil Cheragh,Faryab,2809,28,65848.3361883704,52376.5539759509,57172.1103961421,45693.7520043692
District,Pashtun kot,Faryab,2803,28,240007.653092593,190904.967873465,208384.093551677,166547.123379323
Provincial_Center,Maymana,Faryab,2801,28,107896.573816687,85822.2285783142,87456.1039327085,69897.6679695547
District,Khwaja Sabzposh,Faryab,2802,28,68054.3544483259,54131.2486009151,58654.0460628942,46878.159101516
District,Shirin Tagab,Faryab,2804,28,106491.14997904,84704.3339260295,91338.601610221,73000.6840666458
District,Dawlat Abad,Faryab,2810,28,143501.050968694,114142.454769315,124593.25738081,99578.8531380091
District,Qaram Qol,Faryab,2812,28,23746.5385530852,18888.281276891,20454.3212539311,16347.736861879
District,Qorghan,Faryab,2814,28,66138.8334789909,52607.6200180091,57044.3757567257,45591.6611519437
District,Khan-e-Chahar Bagh,Faryab,2813,28,29622.4437572304,23562.0465363748,25719.3697581366,20555.7293244479
District,Darz Ab,Jawzjan,2711,27,68029.6117132381,54111.5688138194,59065.98318276,47207.3935372904
District,Qush Tepa,Jawzjan,2704,27,32485.5988388658,25839.43527494,28205.2752130292,22542.5434401222
Provincial_Center,Shiberghan,Jawzjan,2701,27,230652.29163011,183463.591508502,197213.532811461,157619.26084817
District,Andkhoy,Faryab,2811,28,50041.4016070003,39803.530145416,41711.1287643788,33336.8465466555
